School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary
"University of California, Riverside (UCR)",State,"$46,800.00","$81,300.00","$59,900.00","$109,000.00"
State University of New York (SUNY) at Geneseo,State,"$42,300.00","$81,300.00","$47,600.00","$117,000.00"
University of Missouri - Columbia,State,"$41,700.00","$81,000.00","$57,100.00","$111,000.00"
University of Nebraska,State,"$45,700.00","$80,900.00","$56,600.00","$113,000.00"
University of Texas at Arlington (UTA),State,"$45,400.00","$80,800.00","$61,200.00","$106,000.00"
Northern Illinois University (NIU),State,"$43,600.00","$80,800.00","$60,200.00","$111,000.00"
Oklahoma State University,State,"$42,800.00","$80,700.00","$56,500.00","$114,000.00"
University of North Dakota,State,"$44,000.00","$80,600.00","$56,400.00","$111,000.00"
"California State University, Northridge (CSUN)",State,"$45,500.00","$80,400.00","$57,800.00","$108,000.00"
University of Houston (UH),State,"$46,000.00","$79,900.00","$56,200.00","$106,000.00"
University of Mississippi,State,"$41,400.00","$79,700.00","$53,500.00","$108,000.00"
New Mexico State University,State,"$44,300.00","$79,500.00","$53,800.00","$102,000.00"
Lamar University,State,"$46,500.00","$79,400.00","$51,600.00","$114,000.00"
Mississippi State University (MSU),State,"$44,500.00","$79,300.00","$58,800.00","$108,000.00"
Colorado State University (CSU),State,"$44,800.00","$79,000.00","$57,100.00","$112,000.00"
Kansas State University (KSU),State,"$43,300.00","$79,000.00","$54,100.00","$106,000.00"
University of Wyoming (UW),State,"$44,500.00","$78,700.00","$54,000.00","$105,000.00"
Utah State University,State,"$43,800.00","$78,700.00","$55,400.00","$101,000.00"
University of Wisconsin (UW) - Platteville,State,"$45,800.00","$78,500.00","$61,200.00","$100,000.00"
University of Oregon,State,"$42,200.00","$78,400.00","$56,200.00","$117,000.00"
University of Kentucky (UK),State,"$42,800.00","$78,300.00","$57,300.00","$107,000.00"
University of New Hampshire (UNH),State,"$41,800.00","$78,300.00","$56,400.00","$114,000.00"
University of Massachusetts (UMass) - Boston,State,"$45,600.00","$78,200.00","$53,800.00","$109,000.00"
West Virginia University (WVU),State,"$43,100.00","$78,100.00","$55,700.00","$106,000.00"
University of Maryland Baltimore County (UMBC),State,"$47,000.00","$77,800.00","$59,100.00","$105,000.00"
North Dakota State University (NDSU),State,"$45,100.00","$77,800.00","$55,800.00","$100,000.00"
State University of New York (SUNY) at Oswego,State,"$38,000.00","$77,800.00","$53,000.00","$115,000.00"
University of Massachusetts (UMass) - Dartmouth,State,"$43,200.00","$77,700.00","$56,200.00","$107,000.00"
Montana State University - Bozeman,State,"$46,600.00","$77,500.00","$58,100.00","$111,000.00"
State University of New York (SUNY) at Oneonta,State,"$37,500.00","$76,700.00","$54,300.00","$97,700.00"
University of Louisiana (UL) at Lafayette,State,"$41,100.00","$76,300.00","$54,500.00","$107,000.00"
State University of New York (SUNY) at Plattsburgh,State,"$40,800.00","$76,200.00","$54,100.00","$105,000.00"
Wayne State University,State,"$42,800.00","$76,100.00","$56,200.00","$101,000.00"
University of Hawaii,State,"$43,800.00","$76,000.00","$56,300.00","$104,000.00"
University of Toledo,State,"$43,100.00","$75,900.00","$54,100.00","$100,000.00"
Florida International University (FIU),State,"$43,200.00","$75,500.00","$55,800.00","$98,200.00"
University of Wisconsin (UW) - Whitewater,State,"$40,800.00","$75,500.00","$53,500.00","$99,300.00"
Western Washington University,State,"$42,700.00","$75,400.00","$56,700.00","$99,200.00"
Minnesota State University - Mankato,State,"$43,300.00","$74,700.00","$53,800.00","$95,700.00"
University of Tennessee,State,"$43,800.00","$74,600.00","$53,200.00","$106,000.00"
University of Wisconsin (UW) - Milwaukee,State,"$42,300.00","$74,600.00","$54,000.00","$93,700.00"
University of Arkansas - Monticello (UAM),State,"$39,200.00","$74,500.00","$46,100.00","$110,000.00"
Penn State - Harrisburg,State,"$45,700.00","$74,000.00","$53,100.00","$104,000.00"
University of North Carolina at Charlotte (UNCC),State,"$43,100.00","$74,000.00","$53,200.00","$99,500.00"
Georgia State University,State,"$41,800.00","$74,000.00","$55,300.00","$99,900.00"
Western Michigan University (WMU),State,"$42,300.00","$73,800.00","$52,500.00","$103,000.00"
South Dakota State University (SDSU),State,"$41,100.00","$73,500.00","$49,900.00","$99,400.00"
Idaho State University,State,"$44,900.00","$73,400.00","$49,600.00","$101,000.00"
Ohio University,State,"$42,200.00","$73,400.00","$52,800.00","$106,000.00"
Illinois State University,State,"$42,000.00","$73,400.00","$55,200.00","$105,000.00"
Cleveland State University,State,"$43,500.00","$73,100.00","$51,600.00","$97,000.00"
Florida State University (FSU),State,"$42,100.00","$73,000.00","$52,800.00","$107,000.00"
"University of Alaska, Anchorage",State,"$45,900.00","$72,600.00","$56,600.00","$99,300.00"
Fitchburg State College,State,"$42,400.00","$72,600.00","$56,100.00","$99,600.00"
University of Nebraska at Omaha,State,"$41,500.00","$72,600.00","$54,400.00","$97,400.00"
Southern Illinois University Carbondale,State,"$43,000.00","$72,500.00","$51,300.00","$99,300.00"
University of Texas at El Paso (UTEP),State,"$43,400.00","$72,100.00","$50,400.00","$99,500.00"
"California State University, Dominguez Hills (CSUDH)",State,"$42,700.00","$72,100.00","$47,000.00","$92,200.00"
University Of Maine,State,"$41,200.00","$72,100.00","$55,600.00","$99,300.00"
Eastern Michigan University,State,"$40,300.00","$72,100.00","$52,800.00","$95,400.00"
Bowling Green State University,State,"$39,800.00","$72,100.00","$51,800.00","$101,000.00"
University of Montana,State,"$37,300.00","$71,900.00","$51,500.00","$96,400.00"
University of Central Florida (UCF),State,"$42,600.00","$71,700.00","$51,500.00","$98,400.00"
University of South Carolina,State,"$40,000.00","$71,700.00","$49,900.00","$98,400.00"
"University of Nevada, Las Vegas (UNLV)",State,"$45,200.00","$71,600.00","$52,400.00","$100,000.00"
St. Cloud State University,State,"$41,800.00","$71,400.00","$49,400.00","$101,000.00"
University of Wisconsin (UW) - Parkside,State,"$40,700.00","$71,400.00","$53,100.00","$84,900.00"
"California State University (CSU), Stanislaus",State,"$38,000.00","$71,400.00","$50,500.00","$94,100.00"
Humboldt State University,State,"$42,600.00","$71,300.00","$56,300.00","$94,400.00"
Florida Atlantic University (FAU),State,"$42,600.00","$71,100.00","$53,000.00","$99,500.00"
University of South Florida (USF),State,"$41,100.00","$71,100.00","$51,500.00","$98,100.00"
Portland State University (PSU),State,"$42,600.00","$70,900.00","$52,300.00","$94,400.00"
Eastern Washington University,State,"$38,600.00","$70,900.00","$50,500.00","$93,100.00"
University of Texas at San Antonio (UTSA),State,"$42,500.00","$70,700.00","$49,800.00","$92,700.00"
University of Akron,State,"$41,100.00","$70,300.00","$53,300.00","$95,200.00"
State University of New York (SUNY) at Potsdam,State,"$38,000.00","$70,300.00","$51,200.00","$100,000.00"
University of Alabama at Birmingham (UAB),State,"$39,200.00","$70,100.00","$53,400.00","$91,400.00"
University of Memphis (U of M),State,"$41,400.00","$69,700.00","$49,100.00","$93,500.00"
Boise State University (BSU),State,"$40,800.00","$69,500.00","$48,700.00","$87,500.00"
Missouri State University (MSU),State,"$36,100.00","$69,500.00","$46,900.00","$102,000.00"
University of Wisconsin (UW) - La Crosse,State,"$42,200.00","$69,300.00","$47,200.00","$93,100.00"
Appalachian State University,State,"$40,400.00","$69,100.00","$50,400.00","$90,800.00"
Virginia Commonwealth University (VCU),State,"$42,000.00","$68,400.00","$51,900.00","$100,000.00"
University of Wisconsin (UW) - Stout,State,"$43,600.00","$68,300.00","$50,600.00","$91,600.00"
East Carolina University (ECU),State,"$40,200.00","$67,500.00","$52,000.00","$98,700.00"
Utah Valley State College,State,"$42,400.00","$67,100.00","$44,100.00","$84,900.00"
University of Missouri - St. Louis (UMSL),State,"$41,400.00","$67,100.00","$49,600.00","$97,600.00"
Western Carolina University,State,"$36,900.00","$66,600.00","$49,500.00","$94,400.00"
University of Wisconsin (UW) - Oshkosh,State,"$39,300.00","$66,400.00","$49,700.00","$90,100.00"
State University of New York (SUNY) at Fredonia,State,"$37,800.00","$66,200.00","$44,200.00","$93,300.00"
University of Missouri - Kansas City (UMKC),State,"$38,900.00","$65,800.00","$48,100.00","$95,800.00"
University of Wisconsin (UW) - Eau Claire,State,"$41,400.00","$64,800.00","$47,300.00","$93,100.00"
Ball State University (BSU),State,"$39,100.00","$64,500.00","$48,200.00","$89,300.00"
University of North Carolina at Wilmington (UNCW),State,"$37,500.00","$64,400.00","$46,600.00","$97,100.00"
University of Wisconsin (UW) - Stevens Point,State,"$39,800.00","$64,000.00","$45,100.00","$95,400.00"
University of Southern Maine,State,"$39,400.00","$63,600.00","$47,900.00","$85,700.00"
Arkansas State University (ASU),State,"$38,700.00","$63,300.00","$45,300.00","$83,900.00"
Kent State University,State,"$38,700.00","$62,600.00","$45,800.00","$87,000.00"
Tarleton State University (TSU),State,"$40,800.00","$62,400.00","$47,400.00","$80,400.00"
University of Wisconsin (UW) - Green Bay,State,"$35,800.00","$60,600.00","$46,800.00","$81,800.00"
Morehead State University,State,"$34,800.00","$60,600.00","$46,500.00","$72,000.00"
Austin Peay State University,State,"$37,700.00","$59,200.00","$40,500.00","$73,900.00"
Pittsburg State University,State,"$40,400.00","$58,200.00","$46,000.00","$84,600.00"
Southern Utah University,State,"$41,900.00","$56,500.00","$39,700.00","$78,400.00"
Montana State University - Billings,State,"$37,900.00","$50,600.00","$31,800.00","$78,500.00"
Black Hills State University,State,"$35,300.00","$43,900.00","$32,200.00","$60,900.00"
